Indeks ;Nazwa;Sezon ;Sektor;Kolekcja ;Kategoria ;Kolor ;Zdjęcie produktu;Cena
391696_01;PUMA x PLEASURES Velophasis Overdye;SS23;Lifestyle ;Unisex;Buty ;fioletowy, różowy;;
393266_01;PUMA Slipstream Bball;SS23;Lifestyle ;Unisex;Buty ;biały, zielony;;
535796_01;Super PUMA;SS23;Lifestyle ;Unisex;Kurtka;czarny, biały, zielony; ;
391570_01;PUMA x LIBERTY Slipstream;SS23;Lifestyle ;Women;Buty ;multikolor;;
539829_23;PUMA x LIBERTY Graphic;SS23;Lifestyle ;Women;Koszulka;pomarańczowy;;
539829_65;PUMA x LIBERTY Graphic;SS23;Lifestyle ;Women;Koszulka;kremowy;;
539831_65;PUMA x LIBERTY Printed;SS23;Lifestyle ;Women;Kurtka;multikolor;;
538021_20;PUMA Track Meet Printed Active;SS23;Lifestyle ;Men;Koszulka;multikolor;;
539508_11;PUMA x RHUIGI T7;SS23;Lifestyle ;Men;Top dresowy;czerwony, biały;;
391333_01;PUMA x RHUIGI B-boy Suede;SS23;Lifestyle ;Unisex;Buty ;różowy, biały;;
539826_55;PUMA x STAPLE;SS23;Lifestyle ;Men;Kurtka;żółty, czarny;;
539825_01;PUMA x STAPLE Graphic;SS23;Lifestyle ;Men;Bluza;czarny, biały;;
